# דוח תאימות רגולטורית: בשרים בחצר 

## מבוא

דוח זה מסכם את הדרישות הרגולטוריות החלות על העסק שלך, "בשרים בחצר", בהתבסס על פרופיל העסק שסופק: עסק בגודל 500 מ"ר, 300 מקומות ישיבה, המשתמש בגז, מבצע משלוחים, מגיש בשר, משתמש במטגן, מגיש אלכוהול, אינו מגיש מוצרי חלב, בעל מקומות ישיבה, פתוח באוויר הפתוח, משתמש במנגל גז, ומקפיד על כשרות.  מטרת הדוח היא לספק לך תמונה ברורה של הדרישות החוקיות וההמלצות הרגולטוריות הרלוונטיות, על מנת להבטיח את תאימות העסק לחוק.

## תקנות קריטיות

### תקנות משטרת ישראל (סעיף 3-3.1, 3-3.2, 3-3.3, 3-3.6, 3-3.7, 3-3.8, 3-3.9)

* **סעיף 3-3.1:**  תקנה זו חלה עליך בשל השימוש בגז בעסק.  עליך לוודא שמתקיימים כל התנאים לקבלת רישיון גז ממשטרת ישראל.
    * **חובה**
    * **סיכון לאי-ציות:** קנסות, עיכובים ברישוי העסק.

* **סעיף 3-3.2:** תקנה זו חלה עליך בשל מספר מקומות הישיבה והעובדה שאינך מגיש מוצרי חלב.  עליך לבדוק את הפטור מדרישות ספציפיות הקשורות למספר מקומות הישיבה.
    * **חובה**
    * **סיכון לאי-ציות:** קנסות, עיכובים ברישוי העסק.

* **סעיף 3-3.3:** תקנה זו חלה עליך בשל העובדה שאינך מגיש מוצרי חלב.  עליך להתקין מערכת מצלמות אבטחה בהתאם לדרישות.
    * **חובה**
    * **סיכון לאי-ציות:** קנסות, סגירת העסק.

* **סעיף 3-3.6:** תקנה זו חלה עליך בשל מספר מקומות הישיבה, הגשת משקאות משכרים, והעובדה שאינך מגיש מוצרי חלב.  עליך להציב שלטים המתריעים על איסור מכירת אלכוהול לקטינים.
    * **חובה**
    * **סיכון לאי-ציות:** קנסות משמעותיים, סגירת העסק.

* **סעיף 3-3.7:** תקנה זו חלה עליך בשל העובדה שאינך מגיש מוצרי חלב.  עליך לעמוד בדרישות להעברת כספים מעל 50,000 ₪.
    * **חובה**
    * **סיכון לאי-ציות:** קנסות, ענישה פלילית.

* **סעיף 3-3.8:** תקנה זו חלה עליך בשל מספר מקומות הישיבה והעובדה שאינך מגיש מוצרי חלב.  בדוק האם העסק שלך זכאי לפטור מדרישות ספציפיות.
    * **חובה**

* **סעיף 3-3.9:** תקנה זו חלה עליך בשל העובדה שאינך מגיש מוצרי חלב.  עליך לדווח ולשמור מסמכים בהתאם לדרישות.
    * **חובה**


## תקנות מומלצות

### תקנות משרד הבריאות (סעיף 4-1.1, 4-1.7, 4-1.10, 4-1.11, 4-2.2, 4-2.4, 4-2.5, 4-2.6, 4-2.7, 4-3.1, 4-3.4, 4-3.5, 4-3.7, 4-3.8, 4-3.9, 4-3.11, 4-4.1, 4-4.2, 4-4.3, 4-4.10, 4-5.4, 4-8.2, 4-8.3, 4-8.5, 4-15.8)

* **סעיף 4-1.1:** מומלץ להכין טופס ביקורת לפי הסעיפים הרלוונטיים.
    * **מומלץ**

* **סעיף 4-1.7:** תקנות אלו חלות עליך בשל מכירת בשר.  מומלץ לוודא שכל חומרי הגלם מגיעים ממקורות מורשים ומאושרים.
    * **מומלץ**

* **סעיף 4-1.10, 4-1.11:** תקנות אלו חלות עליך בשל השימוש בגז והשימוש במשלוחים.  מומלץ לבדוק את מצב הניקיון של ארגזי הרכב ואת הטמפרטורה של המזון המובל.
    * **מומלץ**

* **סעיף 4-2.2, 4-2.4, 4-2.5, 4-2.6, 4-2.7, 4-3.1, 4-3.4, 4-3.5, 4-3.7, 4-3.8, 4-3.9, 4-3.11, 4-4.1, 4-4.2, 4-4.3, 4-4.10, 4-5.4, 4-8.2, 4-8.3, 4-8.5:** תקנות אלו חלות עליך בשל היותך מסעדה שמגישה בשר.  מומלץ לעיין בתקנות אלו בקפידה ולעמוד בדרישות התברואה והבטיחות במטבח, באחסון המזון ובכלל.
    * **מומלץ**

* **סעיף 4-15.8:** תקנה זו חלה עליך בשל כל המאפיינים של העסק.  מומלץ לוודא שקיימים חדרי שירותים נקיים ומצוידים כראוי.
    * **מומלץ**


### תקנות הרשות הארצית לכבאות והצלה (סעיף 5-5.2, 5-5.4, 5-5.7, 5-5.8, 5-5.9, 5-6.2, 5-6.3, 5-6.5, 5-6.7, 5-6.8, 5-6.9, 5-6.10, 5-6.11, 5-6.12, 5-6.13, 5-6.14, 5-6.15, 5-6.16, 5-6.17, 5-6.19, 5-6.22, 5-6.23, 5-6.24)

* **סעיף 5-5.2, 5-5.4, 5-5.7, 5-5.8, 5-5.9, 5-6.2, 5-6.3, 5-6.5, 5-6.7, 5-6.8, 5-6.9, 5-6.10, 5-6.11, 5-6.12, 5-6.13, 5-6.14, 5-6.15, 5-6.16, 5-6.17, 5-6.19, 5-6.22, 5-6.23, 5-6.24:** תקנות אלו חלות עליך בשל השימוש בגז, גודל העסק ומספר מקומות הישיבה.  מומלץ לעיין בתקנות אלו בקפידה ולעמוד בדרישות בטיחות האש וההצלה.
    * **מומלץ**


## טבלת סיכום תקנות

| גוף רגולטורי | סעיף תקנה | עדיפות | חובה/מומלץ | המלצה |
| הרשות הארצית לכבאות והצלה | 5-6.16 | בינונית | מומלץ | התקן מערכת גילוי אש בלוחות חשמל. |
| הרשות הארצית לכבאות והצלה | 5-6.17 | בינונית | מומלץ | התקן סידורי שליטה בעשן. |
| הרשות הארצית לכבאות והצלה | 5-6.19 | בינונית | מומלץ | התקן מערכת מסירת הודעות. |
| הרשות הארצית לכבאות והצלה | 5-6.22 | בינונית | מומלץ | בצע בדיקות אינטגרציה. |
| הרשות הארצית לכבאות והצלה | 5-6.23 | בינונית | מומלץ | ודא תקינות מערכת הגז. |
| הרשות הארצית לכבאות והצלה | 5-6.24 | בינונית | מומלץ | ספק מסמכים ואישורים. |


## צעדים הבאים

1.  קרא את דוח התאימות  בקפידה.
2.  פנה לגורמים הרלוונטיים (משטרת ישראל, משרד הבריאות, הרשות הארצית לכבאות והצלה) לקבלת מידע נוסף והבהרות.
3.  בדוק את תאימות העסק לכל התקנות וההמלצות.
4.  הכן תוכנית פעולה ליישום הדרישות.
5.  עדכן את תוכנית הפעולה באופן שוטף.


## כתב ויתור

דוח זה אינו מהווה ייעוץ משפטי.  מומלץ להתייעץ עם עורך דין או יועץ רגולטורי לקבלת ייעוץ מקצועי.
